CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor,corridor-section
794597,41.748013,-72.778224,2021-03-10,O,O,3,State,4-E,Farmington Ave,Farmington Ave
795664,41.798583,-72.726714,2021-03-10,A,C,3,State,185-E,Simsbury Rd,Simsbury Rd
795665,41.729798,-72.751945,2021-03-10,O,O,3,State,71-S,New Britain Ave,New Britain Ave
795965,41.73063238,-72.72669574,2021-03-10,O,O,3,State,529-E,New Britain Ave,New Britain Ave
796207,41.73216,-72.73049,2021-03-14,O,O,3,State,529-E,New Britain Ave,New Britain Ave
796134,41.7302,-72.72615,2021-03-15,O,O,3,State,529-E,,
796159,41.78688,-72.747637,2021-03-16,O,O,3,State,218-E,Main St,North Main 2
796208,41.731147,-72.715985,2021-03-17,A,C,3,State,529-E,New Britain Ave,New Britain Ave
796420,41.727382,-72.756754,2021-03-18,O,O,3,State,71-N,New Britain Ave,New Britain Ave
813102,41.754089,-72.736729,2021-03-23,O,O,3,State,501-S,,
799290,41.730414,-72.726103,2021-03-26,O,O,3,State,529-E,New Britain Ave,New Britain Ave
802073,41.732966,-72.734752,2021-03-27,O,O,3,State,173-N,,
802075,41.79787,-72.74789,2021-03-30,O,O,3,State,218-E,Main St,North Main 2
799487,41.73216,-72.73049,2021-03-31,A,B,3,State,529-E,New Britain Ave,New Britain Ave
802078,41.72736,-72.757608,2021-03-31,O,O,3,State,71-S,New Britain Ave,New Britain Ave
799488,41.729932,-72.724289,2021-04-01,O,O,3,State,529-E,New Britain Ave,New Britain Ave
802083,41.75426,-72.73739,2021-04-02,O,O,3,State,501-S,Park-Sedgwick Rd,Park Rd E1
802087,41.731556,-72.743929,2021-04-03,O,O,3,State,71-N,New Britain Ave,New Britain Ave
807085,41.72394,-72.76037,2021-04-05,A,C,3,State,71-S,New Britain Ave,New Britain Ave
802094,41.73275,-72.732183,2021-04-06,O,O,3,State,173-N,New Britain Ave,New Britain Ave
802096,41.72733,-72.75762,2021-04-06,A,C,3,State,71-S,New Britain Ave,New Britain Ave
803685,41.735531,-72.742944,2021-04-07,O,O,3,State,173-N,Main St,South Main 1
803701,41.727268,-72.757555,2021-04-08,O,O,3,State,71-S,New Britain Ave,New Britain Ave
803668,41.73007703,-72.72270802,2021-04-09,A,C,3,State,529-E,New Britain Ave,New Britain Ave
803722,41.722714,-72.760433,2021-04-12,A,B,3,State,71-N,New Britain Ave,New Britain Ave
803723,41.747642,-72.778767,2021-04-13,O,O,3,State,4-E,Farmington Ave,Farmington Ave
806264,41.732426,-72.73653,2021-04-14,O,O,3,State,173-N,New Britain Ave,New Britain Ave
807662,41.723713,-72.760351,2021-04-15,O,O,3,State,71-S,New Britain Ave,New Britain Ave
807097,41.725881,-72.759967,2021-04-16,O,O,3,State,71-S,New Britain Ave,New Britain Ave
809597,41.78972898,-72.74713346,2021-04-16,O,O,3,State,218-E,Main St,North Main 2
806178,41.73084,-72.71753,2021-04-17,O,O,3,State,529-E,New Britain Ave,New Britain Ave
807100,41.789044,-72.747435,2021-04-21,O,O,3,State,218-E,Main St,North Main 2
807101,41.726379,-72.759367,2021-04-21,O,O,3,State,71-S,New Britain Ave,New Britain Ave
813081,41.73079,-72.74793,2021-04-24,O,O,3,State,71-N,New Britain Ave,New Britain Ave
807665,41.79082,-72.746876,2021-04-26,A,B,3,State,218-E,Main St,North Main 2
808113,41.791873,-72.746614,2021-04-27,A,C,3,State,218-E,Main St,North Main 2
808722,41.729868,-72.751849,2021-04-29,O,O,3,State,71-N,New Britain Ave,New Britain Ave
809231,41.80465,-72.72791,2021-04-30,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
813415,41.73167,-72.74337,2021-04-30,A,B,3,State,71-N,New Britain Ave,New Britain Ave
809234,41.730009,-72.725196,2021-05-01,A,B,3,State,529-E,New Britain Ave,New Britain Ave
809733,41.73249,-72.73133,2021-05-03,O,O,3,State,173-N,New Britain Ave,New Britain Ave
809741,41.72460799,-72.75936043,2021-05-04,O,O,3,State,71-N,,
809758,41.727182,-72.757189,2021-05-04,O,O,3,State,71-S,New Britain Ave,New Britain Ave
810613,41.731797,-72.729572,2021-05-05,A,C,3,State,529-E,New Britain Ave,New Britain Ave
