CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,corridor
630585,41.7535,-72.764301,West Hartford,12/24/19,O,O,4,Local,42,BOULEVARD,BOULEVARD,,Mountain Rd,Boulevard west
631384,41.755984,-72.728502,West Hartford,12/25/19,O,O,4,Local,371,PARK RD,PARK RD,,South Quaker Lane,Park Rd east
631385,41.762454,-72.740286,West Hartford,12/26/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,RAYMOND RD,,Farmington Ave
633105,41.760231,-72.715694,West Hartford,12/27/19,A,B,4,Local,42,BOULEVARD,BOULEVARD,,Prospect Avenue,Boulevard east
633012,41.75805,-72.74287,West Hartford,12/27/19,A,B,4,Local,151,ELLSWORTH RD,ELLSWORTH RD,SOUTH MAIN ST,,South Main to NB
633011,41.744728,-72.745042,West Hartford,12/27/19,A,B,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Rockledge Drive,South Main to NB
632359,41.75944,-72.74226,West Hartford,12/27/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,MEMORIAL RD,,South Main to NB
631386,41.762784,-72.738153,West Hartford,12/27/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Farmington Avenue,Farmington Ave
633013,41.759378,-72.744353,West Hartford,12/28/19,O,O,4,Local,282,LA SALLE RD,LA SALLE RD,ARAPAHOE RD,,
631387,41.748196,-72.741382,West Hartford,12/28/19,O,O,4,Local,531,WEBSTER HILL BLVD,WEBSTER HILL BLVD,,CRESTWOOD RD,
633724,41.787001,-72.740951,West Hartford,12/30/19,A,B,4,Local,275,KING PHILIP DR,KING PHILIP DR,,Albany Ave,
633106,41.75008,-72.71514,West Hartford,12/31/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,I 84,,Prospect Ave
633068,41.76471858,-72.72902681,West Hartford,12/31/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,NORTH QUAKER LA,,Farmington Ave
633067,41.75817,-72.75466,West Hartford,12/31/19,A,A,4,Local,169,FARMINGTON AV,FARMINGTON AV,,Lemay Street,Farmington Ave
633725,41.75468069,-72.73530337,West Hartford,1/1/20,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,PARK RD,,Trout Brook south
633107,41.754083,-72.722087,West Hartford,1/1/20,O,O,4,Local,617,OAKWOOD AV NO 2,OAKWOOD AV NO 2,THOMAS ST,,
633016,41.755546,-72.724822,West Hartford,1/2/20,O,O,4,Local,340,NESBIT AV,NESBIT AV,,Richard Street,
639806,41.75645,-72.71481,West Hartford,1/3/20,A,C,4,Local,371,PARK RD,PARK RD,PARK ST,,Prospect Ave
634043,41.756166,-72.743773,West Hartford,1/3/20,A,C,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BOULEVARD,,South Main to NB
634020,41.754828,-72.735344,West Hartford,1/3/20,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,PARK RD,,Trout Brook south
633893,41.731454,-72.743369,West Hartford,1/3/20,O,O,4,Local,459,SOUTH MAIN ST NO 1,SOUTH MAIN ST NO 1,,New Britain Avenue,New Britain Ave
633726,41.752651,-72.743519,West Hartford,1/3/20,O,O,4,Local,460,,SOUTH MAIN ST NO 2,,Park Road,South Main to NB
637108,41.79009,-72.73596,West Hartford,1/4/20,O,O,4,Local,331,MOHEGAN DR,MOHEGAN DR,BREWSTER RD,,
637107,41.75953735,-72.74456115,West Hartford,1/4/20,O,O,4,Local,282,LA SALLE RD,LA SALLE RD,,Lasalle Rd.,
634045,41.733412,-72.731156,West Hartford,1/4/20,A,C,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,Burgoyne Street,Quaker Lane South
