CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description
521554,41.759185,-72.737423,West Hartford,2/23/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Boulevard
521562,41.756289,-72.743677,West Hartford,2/25/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BOULEVARD,
521561,41.766958,-72.764866,West Hartford,2/25/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,,Fern Street 
521560,41.802771,-72.747067,West Hartford,2/25/19,O,O,4,Local,275,KING PHILIP DR,KING PHILIP DR,,Tumblebrook Dr
522833,41.756018,-72.729208,West Hartford,2/26/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,PARK RD
522492,41.759585,-72.742325,West Hartford,2/26/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,
522143,41.756254,-72.727711,West Hartford,2/26/19,O,O,4,Local,371,PARK RD,PARK RD,,South Quaker La
522114,41.786524,-72.740806,West Hartford,2/26/19,A,C,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,44-E,
520973,41.76591,-72.764828,West Hartford,2/26/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,FERN ST,
522510,41.765488,-72.722726,West Hartford,2/27/19,O,O,4,Local,540,WEST HILL DR NO 1,WEST HILL DR NO 1,,Farmington Ave
522493,41.744147,-72.740799,West Hartford,2/27/19,O,O,4,Local,531,WEBSTER HILL BLVD,WEBSTER HILL BLVD,GREYSTONE RD,
523257,41.736342,-72.730466,West Hartford,2/28/19,A,C,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,TROUT BROOK DR,
522511,41.780314,-72.715116,West Hartford,2/28/19,O,O,4,Local,483,SYCAMORE LA,SYCAMORE LA,,PROSPECT AV
522749,41.754798,-72.734927,West Hartford,3/1/19,O,O,4,Local,371,PARK RD,PARK RD,,TROUT BROOK DR
522748,41.758102,-72.729255,West Hartford,3/1/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,BOULEVARD 
522747,41.733358,-72.731245,West Hartford,3/1/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,New Britain Avenue
522730,41.746062,-72.715111,West Hartford,3/1/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,LEVESQUE AV,
522729,41.7454,-72.729787,West Hartford,3/1/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,562 South Quaker Lane
520974,41.75467,-72.73534,West Hartford,3/1/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,PARK RD,
523650,41.757583,-72.736819,West Hartford,3/2/19,A,B,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Boulevard
522997,41.764765,-72.727635,West Hartford,3/2/19,O,O,4,Local,312,MAPLEWOOD AV,MAPLEWOOD AV,,Farmington Ave
523651,41.722994,-72.743023,West Hartford,3/3/19,A,B,4,Local,459,SOUTH MAIN ST NO 1,SOUTH MAIN ST NO 1,CALVIN RD,
522790,41.741448,-72.717781,West Hartford,3/3/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,Darcy Street
523300,41.75438,-72.738004,West Hartford,3/4/19,O,O,4,Local,401,RAYMOND RD,RAYMOND RD,,PARK RD
523276,41.761396,-72.744043,West Hartford,3/4/19,A,C,4,Local,169,FARMINGTON AV,FARMINGTON AV,,LaSalle Rd
521034,41.756586,-72.74369,West Hartford,3/4/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Boulevard
524233,41.761514,-72.743681,West Hartford,3/5/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,LASALLE RD
523654,41.738286,-72.720095,West Hartford,3/5/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,Oakwood Avenue
523653,41.75428,-72.76656,West Hartford,3/5/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,BOULEVARD,
523656,41.79374,-72.766764,West Hartford,3/6/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,,Apple Hill Rd.
526058,41.762244,-72.741026,West Hartford,3/7/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,North Main St
523828,41.743024,-72.733464,West Hartford,3/7/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,CROCKER AV,
540256,41.770758,-72.716542,West Hartford,3/8/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,FERN ST,
526060,41.755488,-72.750378,West Hartford,3/8/19,O,O,4,Local,42,BOULEVARD,BOULEVARD,RIGGS AV,
526059,41.73249,-72.73133,West Hartford,3/8/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,173-N,
524836,41.724767,-72.717183,West Hartford,3/8/19,O,O,4,Local,243,HILLCREST AV,HILLCREST AV,,STEVENS St
526061,41.75579,-72.74784,West Hartford,3/9/19,A,C,4,Local,42,BOULEVARD,BOULEVARD,FOUR MILE RD,
528190,41.762101,-72.742087,West Hartford,3/10/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,Farmington Avenue
531390,41.7291,-72.729126,West Hartford,3/11/19,O,O,4,Local,370,PAGE AV,PAGE AV,WOODLAWN ST NO 1,
531389,41.74836,-72.715256,West Hartford,3/11/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,WESTPHAL ST,
531388,41.741402,-72.717519,West Hartford,3/11/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,DARCY ST,
531387,41.769126,-72.728953,West Hartford,3/11/19,O,O,4,Local,349,NORTH QUAKER LA,NORTH QUAKER LA,,Fern Street
531386,41.79488,-72.766741,West Hartford,3/11/19,A,B,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,,Walker La
526256,41.779103,-72.765656,West Hartford,3/11/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,,Wintergreen Lane
525377,41.758308,-72.71677,West Hartford,3/11/19,O,O,4,Local,298,LOCKWOOD TER,LOCKWOOD TER,WEST BEACON ST,
523657,41.761775,-72.742228,West Hartford,3/11/19,A,B,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,FARMINGTON AV,
523953,41.761357,-72.744239,West Hartford,3/12/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,LaSalle Rd
531392,41.74234,-72.71687,West Hartford,3/13/19,A,B,4,Local,342,NEW PARK AV,NEW PARK AV,FLATBUSH AV,
526403,41.77076,-72.71657,West Hartford,3/13/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,FERN ST,
526032,41.742184,-72.740554,West Hartford,3/13/19,A,C,4,Local,531,WEBSTER HILL BLVD,WEBSTER HILL BLVD,LEDGEWOOD RD,
532304,41.756243,-72.752954,West Hartford,3/14/19,O,O,4,Local,541,WESTLAND AV,WESTLAND AV,,Boulevard
532303,41.760935,-72.73954,West Hartford,3/14/19,A,C,4,Local,401,RAYMOND RD,RAYMOND RD,NEW ST,
532147,41.740585,-72.71815,West Hartford,3/14/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,590 New Park Avenue
531212,41.75158,-72.71707,West Hartford,3/14/19,O,O,4,Local,269,KANE ST,KANE ST,84-W-112,
526033,41.722886,-72.742926,West Hartford,3/14/19,A,B,4,Local,459,SOUTH MAIN ST NO 1,SOUTH MAIN ST NO 1,CALVIN RD,
524490,41.74735,-72.74111,West Hartford,3/14/19,O,O,4,Local,116,CRESTWOOD RD,CRESTWOOD RD,WEBSTER HILL BLVD,
524455,41.76471,-72.729,West Hartford,3/14/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,NORTH QUAKER LA,
532315,41.785745,-72.747179,West Hartford,3/15/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,44-E,
532306,41.760983,-72.737849,West Hartford,3/15/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Memorial Road
528191,41.73069207,-72.72542138,West Hartford,3/15/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,New Britain Ave
534447,41.741972,-72.717114,West Hartford,3/16/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,FLATBUSH AV
532316,41.758502,-72.729176,West Hartford,3/16/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,BOULEVARD,
526892,41.7657,-72.742483,West Hartford,3/16/19,A,C,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,WHITMAN AV,
523859,41.754353,-72.736259,West Hartford,3/16/19,O,O,4,Local,371,PARK RD,PARK RD,501-S,
532318,41.78563,-72.747137,West Hartford,3/17/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,44-E,
527101,41.761921,-72.747384,West Hartford,3/17/19,O,O,4,Local,518,WALDEN ST,WALDEN ST,BRACE RD,
534449,41.743051,-72.770394,West Hartford,3/18/19,O,O,4,Local,62,BROOKMOOR RD,BROOKMOOR RD,,Racebrook Road
534448,41.754034,-72.768402,West Hartford,3/18/19,A,C,4,Local,169,FARMINGTON AV,FARMINGTON AV,,Old Mill Ln
532543,41.742092,-72.717522,West Hartford,3/18/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,FLATBUSH AV,
532320,41.782946,-72.73841,West Hartford,3/18/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Lawler Road
532125,41.75805,-72.74287,West Hartford,3/18/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Ellsworth Road
